Bag Name,Height (cm),Width (cm),Depth (cm),Height (in),Width (in),Depth (in),Pet Carrier
Sherpa Original Deluxe Pet Carrier - Small,20.3,25.4,38.1,8,10,15,Y
Sherpa Original Deluxe Pet Carrier - Medium,26.7,27.9,43.2,10.5,11,17,Y
Sherpa Original Deluxe Pet Carrier - Large,29.2,29.8,48.3,11.5,11.75,19,Y
JetBlue JetPaws Official Pet Carrier,29.2,25.4,40.6,11.5,10,16,Y
Roverlund Out-of-Office Pet Carrier - Small,26.7,27.9,43.2,10.5,11,17,Y
Roverlund Out-of-Office Pet Carrier - Large,29.2,29.8,47,11.5,11.75,18.5,Y
Maxbone All-In-One Travel Carrier,27.9,24.1,47,11,9.5,18.5,Y
Mr. Peanutâ€™s Gold Series Airline-Approved Soft-Sided Dog & Cat Carrier,26.7,26.7,45.7,10.5,10.5,18,Y
SturdiBag Pro 2.0 - Cube,28.5,30.5,30.5,11.25,12,12,Y
SturdiBag Pro 2.0 - Small,23.5,25.5,46,9.25,10,18,Y
SturdiBag Pro 2.0 - Medium,30,30.5,38,11.75,12,15,Y
SturdiBag Pro 2.0 - Large,29,29,46,11.5,11.5,18,Y
Away The Pet Carrier,27.3,27.4,47.5,10.75,10.8,18.7,Y
Sleepypod Air,26.7,26.7,55.9,10.5,10.5,22,Y
Petsfit Expandable Travel Dog Carrier - Small,27.9,24.1,40.6,11,9.5,16,Y
Petsfit Expandable Travel Dog Carrier - Medium,31.8,29.2,50.8,12.5,11.5,20,Y