,Height (cm),Width (cm),Depth (cm),Height (in),Width (in),Depth (in),Pet Carrier
5.11 Rush 12 2.0,46,28,17,18,11,7,N
Able Carry Thirteen Daybag,45,27,17,17.5,10.5,6.5,N
Aer City Pack,46,38,13,18,15,5,N
Aer City Pack Pro 2,46,32,18,18,12.5,7,N
Aer City Pack X-Pac,46,30,12,18,12,4.5,N
Aer Flight Pack 2,46,31,13,18,12,5,N
Aer Flight Pack 3,46,31,14,18,12,5.5,N
Aer Go Pack 2,43,28,14,17,11,5.5,N
Aer Go Pack 2 PL,43,31,14,17,12,5.5,N
Aer Pro Pack 24L,47,32,19,18.5,12.5,7.5,N
Aer Tech Pack 3 X-Pac,46,31,18,18,12,7,N
Alpha One Niner Bravo 23L,47,38,18,18.5,15,7,N
Alpha One Niner Evade 1.5 Backpack,44,38,20,17.5,15,8,N
Alpha One Niner Recon Nine Evade 1.5 (Lite),44,31,14,17.5,12,5.5,N
Alpha One Niner Whitby Backpack,44,28,19,17.5,11,7.5,N
Arc'teryx Mantis 26,48,28,18,19,11,7,N
Arktype Dashpack II,46,32,19,18,12.5,7.5,N
Attitude Supply ADT2 Backpack,45,25,19,17.5,10,7.5,N
Black Ember Citadel 18,43,29,16,17,11.5,6.5,N
Black Ember Forge Max,46,31,15,18,12,6,N
Cabin Zero Adv Backpack 32L,46,31,18,18,12,7,N
Cabin Zero Adv Pro Backpack 32L,46,31,18,18,12,7,N
Cabin Zero Classic 28L,39,29,15,15.5,11.5,6,N
Cotopaxi Allpa Mini 20L Travel Pack,43,25,20,17,10,8,N
Decathlon Quechua NH Escape 500 23L,48,22,26,19,9,10,N
"Ecohub 16"" Travel Backpack",40,25,20,15.5,10,8,N
Evergoods Civic Half Zip 22L,45,28,24,18,11,9.5,N
Evergoods Civic Panel Loader 24L,46,28,15,18,11,6,N
Evergoods Civic Panel Loader 28L,48,29,18,19,11.5,7,N
Evergoods Civic Travel Bag 29L,48,28,22,19,11,8.5,N
Everyman Hideout,43,28,17,17,11,6.5,N
Fjallraven Raven 20,42,28,18,16.5,11,7,N
Fjallraven Raven 28,47,30,18,18.5,12,7,N
Fjallraven Ulvö 23,45,28,13,17.5,11,5,N
GORUCK Bullet Ruck Dyneema,43,27,14,17,10.5,5.5,N
GORUCK Bullet Ruck Laptop 16L,43,25,14,17,10,5.5,N
GORUCK GR1 Dyneema 21L,46,29,14,18,11.5,5.5,N
GORUCK GR2 26,46,32,18,18,12.5,7,N
Gossamer Gear Vagabond Jet,46,27,15,18,10.5,6,N
Greenroom Rainmaker,40,28,17,15.5,11,7,N
Gregory Border 18,47,29,16,18.5,11.5,6.5,N
HikePro Backpack,40,28,13,15.5,11,5,N
Jansport Main Campus,43,33,22,17,13,8.5,N
Jansport Right Pack,45,32,14,17.5,12.5,5.5,N
Jansport Superbreak,42,33,21,16.5,13,8,N
Jansport West Break,43,32,20,17,12.5,8,N
Lowe Alpine Edge 22,47,29,25,18.5,11.5,10,N
Millican Smith 18L,45,28,18,17.5,11,7,N
Minaal Daily 3.0,43,32,16,17,12.5,6.5,N
Moment Everything Backpack 17L Overnight,42,26,15,16.5,10.5,6,N
Moment Everything Backpack 21L Overnight,46,29,15,18,11.5,6,N
Mountainsmith Divide,40,28,14,15.5,11,5.5,N
Mountainsmith Divide EVO Daypack,44,29,15,17.5,11.5,6,N
Nomatic Backpack,47,30,13,18.5,12,5,N
Nomatic Travel Pack,47,30,15,18.5,12,6,N
Northface Base Camp Voyager Daypack,46,29,13,18,11.5,5,N
Osprey Daylite Expandable Travel Pack,43,33,15,17,13,6,N
Outlander Packable Backpack,43,27,18,17,10.5,7,N
Pacsafe Pacsafe GO 34L,47,32,20,18.5,12.5,8,N
Pakt Everyday 15L Backpack,44,28,11,17.5,11,4.5,N
Patagonia Refugio Daypack 26L,46,38,17,18,15,6.5,N
Patagonia Ultralight Black Hole Tote Pack 27L,44,28,15,17.5,11,6,N
Quechua NH 500 Hiking Backpack,46,28,22,18,11,8.5,N
Quechua NH Escape 500 Rolltop,46,29,22,18,11.5,8.5,N
REI Co-op Commuter Pack,43,27,18,17,10.5,7,N
REI Co-op Trail 25,46,33,20,18,13,8,N
Stubble & Co The Rolltop 20L,47,32,14,18.5,12.5,5.5,N
SwissGear Getaway Pack,46,28,22,18,11,8.5,N
Timbuk2 Commuter,43,38,14,17,15,5.5,N
Tom Bihn Addax 26,47,33,20,18.5,13,8,N
Tom Bihn Synapse 19,41,29,20,16,11.5,8,N
Tom Bihn Synik 26,46,34,28,18,13,11,N
tomtoc TechPack-T73,47,31,17,18.5,12,6.5,N
tomtoc VintPack-TA1,45,30,15,17.5,12,6,N
Tortuga Daypack Pro,44,38,17,17.5,15,6.5,N
Tortuga Outbreaker Daypack,44,23,17,17,9,6.5,N
Tortuga Packable Backpack,46,26,15,18,10,6,N
Troubadour Ridge Backpack,47,38,18,18.5,15,7,N
ULA Equipment 30L Dragonfly,47,28,18,18.5,11,7,N
Waterfield Air Porter,42,38,18,16.5,15,7,N